winner,turns,win_rate_player_1,win_rate_player_2,cards_played_player_1,cards_played_player_2,hand_value_player_1,hand_value_player_2,score_player_1,score_player_2
CardCounter,18,0.42084942084942084,0.5791505791505791,9,10,58,0,4580,4035
CardCounter,19,0.41923076923076924,0.5807692307692308,9,12,7,0,4587,4035
Random,15,0.421455938697318,0.578544061302682,8,7,0,71,4587,4106
Random,26,0.42366412213740456,0.5763358778625954,14,14,0,24,4587,4130
Random,81,0.42585551330798477,0.5741444866920152,43,40,0,11,4587,4141
Random,32,0.42803030303030304,0.571969696969697,18,16,0,22,4587,4163
Random,33,0.43018867924528303,0.569811320754717,17,17,0,25,4587,4188
CardCounter,13,0.42857142857142855,0.5714285714285714,7,7,11,0,4598,4188
CardCounter,36,0.42696629213483145,0.5730337078651685,19,18,33,0,4631,4188
CardCounter,65,0.4253731343283582,0.5746268656716418,32,36,53,0,4684,4188
Random,45,0.4275092936802974,0.5724907063197026,26,22,0,32,4684,4220
Random,66,0.42962962962962964,0.5703703703703704,34,37,0,23,4684,4243
CardCounter,12,0.4280442804428044,0.5719557195571956,7,6,50,0,4734,4243
CardCounter,25,0.4264705882352941,0.5735294117647058,13,13,31,0,4765,4243
CardCounter,14,0.4249084249084249,0.575091575091575,7,7,43,0,4808,4243
Random,24,0.42700729927007297,0.572992700729927,14,13,0,24,4808,4267
Random,53,0.4290909090909091,0.5709090909090909,31,28,0,10,4808,4277
Random,134,0.4311594202898551,0.5688405797101449,70,73,0,5,4808,4282
CardCounter,34,0.4296028880866426,0.5703971119133574,19,17,36,0,4844,4282
Random,72,0.4316546762589928,0.5683453237410072,40,38,0,0,4844,4282
CardCounter,12,0.43010752688172044,0.5698924731182796,7,7,39,0,4883,4282
CardCounter,29,0.42857142857142855,0.5714285714285714,14,15,4,0,4887,4282
CardCounter,18,0.42704626334519574,0.5729537366548043,9,11,32,0,4919,4282
CardCounter,23,0.425531914893617,0.574468085106383,12,12,13,0,4932,4282
Random,45,0.4275618374558304,0.5724381625441696,23,22,0,20,4932,4302
CardCounter,17,0.426056338028169,0.573943661971831,8,11,21,0,4953,4302
CardCounter,24,0.4245614035087719,0.5754385964912281,12,13,78,0,5031,4302
CardCounter,23,0.4230769230769231,0.5769230769230769,13,13,55,0,5086,4302
Random,51,0.4250871080139373,0.5749128919860628,29,25,0,32,5086,4334
CardCounter,13,0.4236111111111111,0.5763888888888888,6,7,39,0,5125,4334
CardCounter,28,0.42214532871972316,0.5778546712802768,14,16,47,0,5172,4334
CardCounter,21,0.4206896551724138,0.5793103448275863,10,12,19,0,5191,4334
CardCounter,14,0.41924398625429554,0.5807560137457045,7,7,40,0,5231,4334
CardCounter,25,0.4178082191780822,0.5821917808219178,15,13,5,0,5236,4334
CardCounter,48,0.41638225255972694,0.5836177474402731,28,26,26,0,5262,4334
Random,22,0.41836734693877553,0.5816326530612245,11,12,0,27,5262,4361
CardCounter,18,0.41694915254237286,0.5830508474576271,9,12,60,0,5322,4361
CardCounter,37,0.4155405405405405,0.5844594594594594,19,19,32,0,5354,4361
CardCounter,62,0.41414141414141414,0.5858585858585859,31,35,21,0,5375,4361
CardCounter,13,0.412751677852349,0.587248322147651,6,9,73,0,5448,4361
CardCounter,30,0.411371237458194,0.5886287625418061,19,16,1,0,5449,4361
CardCounter,147,0.41,0.59,76,79,35,0,5484,4361
CardCounter,12,0.40863787375415284,0.5913621262458472,7,6,83,0,5567,4361
Random,14,0.4105960264900662,0.5894039735099338,8,7,0,6,5567,4367
Random,49,0.41254125412541254,0.5874587458745875,29,26,0,0,5567,4367
CardCounter,15,0.41118421052631576,0.5888157894736842,8,8,15,0,5582,4367
Random,23,0.4131147540983607,0.5868852459016394,15,13,0,20,5582,4387
Random,40,0.4150326797385621,0.5849673202614379,21,21,0,14,5582,4401
Random,13,0.4169381107491857,0.5830618892508144,7,6,0,75,5582,4476
CardCounter,71,0.4155844155844156,0.5844155844155844,36,40,3,0,5585,4476
CardCounter,28,0.41423948220064727,0.5857605177993528,16,14,28,0,5613,4476
CardCounter,19,0.4129032258064516,0.5870967741935483,9,10,32,0,5645,4476
CardCounter,36,0.4115755627009646,0.5884244372990354,19,20,20,0,5665,4476
Random,30,0.41346153846153844,0.5865384615384616,17,15,0,0,5665,4476
CardCounter,80,0.41214057507987223,0.5878594249201278,44,44,23,0,5688,4476
Random,84,0.4140127388535032,0.5859872611464968,43,44,0,29,5688,4505
Random,87,0.4158730158730159,0.5841269841269842,48,45,0,40,5688,4545
CardCounter,53,0.41455696202531644,0.5854430379746836,26,29,17,0,5705,4545
Random,11,0.416403785488959,0.583596214511041,8,5,0,64,5705,4609
CardCounter,79,0.41509433962264153,0.5849056603773585,42,42,17,0,5722,4609
CardCounter,38,0.41379310344827586,0.5862068965517241,19,22,48,0,5770,4609
CardCounter,41,0.4125,0.5875,22,25,1,0,5771,4609
Random,23,0.4143302180685358,0.5856697819314641,12,12,0,12,5771,4621
Random,42,0.4161490683229814,0.5838509316770186,24,21,0,25,5771,4646
CardCounter,14,0.4148606811145511,0.5851393188854489,8,7,61,0,5832,4646
Random,30,0.4166666666666667,0.5833333333333334,15,16,0,51,5832,4697
Random,23,0.41846153846153844,0.5815384615384616,13,11,0,5,5832,4702
CardCounter,45,0.4171779141104294,0.5828220858895705,26,23,24,0,5856,4702
CardCounter,14,0.41590214067278286,0.5840978593272171,8,9,95,0,5951,4702
Random,62,0.4176829268292683,0.5823170731707317,33,31,0,72,5951,4774
CardCounter,12,0.41641337386018235,0.5835866261398176,8,7,32,0,5983,4774
Random,14,0.41818181818181815,0.5818181818181818,7,7,0,13,5983,4787
CardCounter,36,0.4169184290030212,0.5830815709969789,20,18,71,0,6054,4787
